Applicant,Edu_Parent1,Edu_Parent2,Gender,White,Asian,HSGPA,SAT_ACT,College,Admitted,Enrolled,College_GPA
160,7,7,F,1,0,4.04,1450,Arts & Letters,Yes,No,
161,4,3,F,1,0,3.73,1230,Arts & Letters,No,No,
166,7,7,F,1,0,3.59,950,Arts & Letters,Yes,Yes,2.255
167,6,5,F,0,0,3.29,1200,Arts & Letters,No,No,
168,6,6,M,1,0,4.23,1400,Arts & Letters,Yes,No,
172,7,6,F,1,0,4.27,1140,Arts & Letters,Yes,Yes,3.386
173,6,5,F,0,0,3.43,1130,Arts & Letters,No,No,
177,7,7,F,1,0,4.11,1300,Arts & Letters,Yes,No,
178,6,6,M,0,1,4,1250,Arts & Letters,Yes,Yes,3.296
180,6,6,M,1,0,3.25,1140,Arts & Letters,No,No,
185,4,4,M,0,0,2.86,860,Arts & Letters,No,No,
187,4,6,M,1,0,3.5,1530,Arts & Letters,Yes,No,
189,6,6,M,1,0,3.67,1190,Arts & Letters,Yes,No,
190,6,6,F,0,0,4.09,1190,Arts & Letters,Yes,No,
193,7,7,M,1,0,3.9,1240,Arts & Letters,Yes,No,
195,7,6,M,1,0,3.22,1330,Arts & Letters,No,No,
196,5,7,M,1,0,3.3,1130,Arts & Letters,No,No,
197,7,7,F,1,0,4.12,1290,Arts & Letters,Yes,No,
199,7,7,M,0,0,3.94,1360,Arts & Letters,No,No,
209,7,7,M,1,0,3.4,1110,Arts & Letters,No,No,
210,3,3,M,0,0,3.42,720,Arts & Letters,No,No,
211,2,1,M,0,0,2.76,1160,Arts & Letters,No,No,
214,2,2,F,0,0,2.94,520,Arts & Letters,No,No,
216,7,6,M,1,0,3.64,1260,Arts & Letters,No,No,
220,3,3,F,1,0,4.05,1100,Arts & Letters,No,No,
223,3,2,F,1,0,3.14,1000,Arts & Letters,No,No,
225,3,7,M,0,0,3.58,1300,Arts & Letters,Yes,No,
228,7,4,F,1,0,4.3,1500,Arts & Letters,Yes,No,
229,6,6,F,0,1,3.62,1290,Arts & Letters,No,No,
232,1,1,F,0,1,3.56,930,Arts & Letters,No,No,
237,6,6,F,1,0,3.95,1230,Arts & Letters,Yes,No,
238,7,6,F,1,0,3.8,1210,Arts & Letters,Yes,Yes,3.128
240,4,4,F,1,0,3.95,1340,Arts & Letters,Yes,Yes,3.58
241,7,7,M,1,0,4.35,1230,Arts & Letters,No,No,
243,6,4,F,0,0,4,1170,Arts & Letters,Yes,No,
246,6,6,M,1,0,3.43,1250,Arts & Letters,No,No,
250,7,4,F,0,0,3.58,1200,Arts & Letters,Yes,Yes,3.08
256,7,7,F,0,0,3.8,1090,Arts & Letters,No,No,
261,6,7,F,1,0,3.7,1150,Arts & Letters,No,Yes,2.947
263,6,6,F,1,0,4,1210,Arts & Letters,Yes,Yes,3.176
268,5,6,F,0,0,3.79,1090,Arts & Letters,No,No,
272,6,6,F,0,1,4.33,1290,Arts & Letters,No,No,
274,6,7,F,1,0,3.75,1320,Arts & Letters,No,No,
275,6,7,F,0,0,3.14,790,Arts & Letters,No,No,
283,4,6,M,1,0,3.05,1060,Arts & Letters,No,No,
285,7,7,F,0,0,3.96,1240,Arts & Letters,Yes,Yes,2.988
289,7,6,M,1,0,3.5,1120,Arts & Letters,No,No,
293,3,6,F,0,1,3.75,1370,Arts & Letters,Yes,Yes,3.467
294,6,6,F,0,1,3.74,1220,Arts & Letters,No,No,
295,4,6,M,1,0,4.36,1390,Arts & Letters,Yes,No,
299,6,6,F,1,0,4.27,1160,Arts & Letters,No,No,
303,6,7,F,0,1,4.4,1340,Arts & Letters,Yes,No,
307,6,7,M,0,1,3.23,1220,Arts & Letters,No,No,
308,6,6,F,0,0,4.13,1200,Arts & Letters,Yes,No,
311,1,1,M,0,0,3.17,1020,Arts & Letters,No,No,
316,5,6,F,1,0,3.7,1210,Arts & Letters,No,No,
324,3,4,F,0,0,3.96,980,Arts & Letters,Yes,No,
325,7,6,F,1,0,3.35,1100,Arts & Letters,No,No,
331,3,4,F,1,0,3.57,1210,Arts & Letters,No,No,
332,7,7,F,1,0,3.2,1480,Arts & Letters,No,No,
333,6,6,F,1,0,4.29,1170,Arts & Letters,No,No,
334,3,3,M,0,0,2.54,980,Arts & Letters,No,No,
339,1,1,M,0,0,3.55,1170,Arts & Letters,No,No,
340,7,6,F,0,1,3.08,1150,Arts & Letters,No,No,
348,6,4,M,0,0,4.04,1350,Arts & Letters,No,No,
350,6,6,M,1,0,3.86,1250,Arts & Letters,Yes,Yes,3.503
353,7,7,M,0,0,4.12,1250,Arts & Letters,No,No,
355,6,6,M,1,0,3.46,1150,Arts & Letters,No,No,
361,6,6,F,1,0,3.92,1160,Arts & Letters,No,Yes,2.997
362,6,5,F,0,0,3.6,1160,Arts & Letters,No,No,
363,3,3,F,0,1,3.75,1110,Arts & Letters,No,No,
365,1,1,F,0,0,3.6,950,Arts & Letters,No,No,
366,4,7,F,1,0,3.8,1170,Arts & Letters,No,No,
367,3,3,F,0,0,3.54,1020,Arts & Letters,Yes,Yes,3.395
369,7,6,F,0,0,3.64,1340,Arts & Letters,Yes,No,
373,5,4,F,0,0,3.85,1170,Arts & Letters,No,Yes,3.397
374,6,6,F,1,0,3.58,1170,Arts & Letters,No,No,
379,6,7,M,1,0,3.59,1090,Arts & Letters,No,No,
381,6,6,M,1,0,3.45,1040,Arts & Letters,No,No,
382,4,5,F,1,0,3.84,1390,Arts & Letters,No,Yes,3.338
391,4,6,F,1,0,4,1110,Arts & Letters,No,No,
394,7,6,F,1,0,3.91,1200,Arts & Letters,No,No,
395,6,4,M,1,0,4.06,1540,Arts & Letters,Yes,No,
396,6,6,F,1,0,3.15,1220,Arts & Letters,No,No,
398,6,7,M,1,0,3.55,1220,Arts & Letters,No,No,
402,6,6,M,0,1,3.69,1240,Arts & Letters,No,No,
403,7,7,M,1,0,3.41,1110,Arts & Letters,No,No,
411,6,6,F,1,0,3.72,1190,Arts & Letters,No,No,
412,7,7,M,0,0,3.17,1230,Arts & Letters,No,No,
413,3,6,F,1,0,3.62,1260,Arts & Letters,No,No,
415,7,7,M,1,0,3.55,1250,Arts & Letters,No,No,
416,3,3,F,0,0,2.94,910,Arts & Letters,No,No,
429,6,4,M,1,0,4.23,1260,Arts & Letters,Yes,Yes,3.351
430,7,6,F,1,0,4.05,1320,Arts & Letters,No,Yes,3.131
431,3,4,F,1,0,3.52,1130,Arts & Letters,No,No,
432,4,6,F,1,0,4.09,1130,Arts & Letters,Yes,Yes,3.699
433,1,1,F,0,0,3.14,900,Arts & Letters,No,No,
436,3,6,M,1,0,3.14,950,Arts & Letters,No,No,
437,4,7,M,1,0,3.23,1230,Arts & Letters,No,No,
439,3,6,M,1,0,3.83,980,Arts & Letters,No,No,
440,7,7,F,1,0,4.27,1260,Arts & Letters,Yes,Yes,4
443,6,7,F,1,0,3.52,1300,Arts & Letters,No,No,
444,6,6,F,1,0,2.95,1310,Arts & Letters,No,No,
445,7,7,F,1,0,3.52,1290,Arts & Letters,No,No,
449,7,7,F,0,0,3,950,Arts & Letters,No,No,
452,6,6,F,1,0,3.86,1370,Arts & Letters,No,No,
454,7,7,F,1,0,4.05,1310,Arts & Letters,Yes,Yes,3.878
455,4,4,F,1,0,3.9,1230,Arts & Letters,No,No,
457,3,6,F,1,0,3.88,1140,Arts & Letters,Yes,Yes,3.374
463,4,7,M,0,1,3.67,1190,Arts & Letters,No,Yes,3.288
464,6,6,F,1,0,3.7,1190,Arts & Letters,No,No,
465,7,7,M,1,0,3.75,1310,Arts & Letters,No,No,
467,3,3,F,1,0,3.3,1170,Arts & Letters,No,No,
475,6,6,M,0,0,3.5,1300,Arts & Letters,No,No,
478,7,6,F,1,0,4.2,1440,Arts & Letters,Yes,No,
480,6,4,M,1,0,3.35,1400,Arts & Letters,No,No,
487,3,4,F,1,0,3.3,1080,Arts & Letters,No,No,
490,3,6,F,1,0,3.59,1180,Arts & Letters,Yes,Yes,2.854
491,4,7,M,1,0,3.45,1250,Arts & Letters,No,No,
493,6,6,F,0,0,3.59,1280,Arts & Letters,No,No,
497,7,7,M,1,0,4,1400,Arts & Letters,No,No,
500,6,4,F,1,0,3.1,1060,Arts & Letters,No,No,
506,7,6,F,1,0,3.38,1370,Arts & Letters,No,No,
507,6,6,F,1,0,3.59,1040,Arts & Letters,No,No,
511,6,6,M,1,0,4.3,1380,Arts & Letters,No,No,
514,7,7,M,1,0,3.65,1180,Arts & Letters,No,No,
515,7,6,M,0,0,3.41,1000,Arts & Letters,No,No,
522,7,5,F,1,0,4.12,1150,Arts & Letters,No,No,
527,6,6,F,1,0,3.48,1240,Arts & Letters,No,No,
528,6,6,F,1,0,3.95,1370,Arts & Letters,No,Yes,3.68
531,6,6,F,1,0,4.33,1460,Arts & Letters,Yes,No,
543,2,3,F,0,0,3.76,1210,Arts & Letters,No,No,
544,7,3,F,1,0,3.59,1210,Arts & Letters,No,No,
545,4,7,F,1,0,3.92,1340,Arts & Letters,No,No,
547,5,6,F,0,1,4,1100,Arts & Letters,Yes,No,
548,7,7,M,1,0,4.21,1270,Arts & Letters,No,No,
552,6,6,F,1,0,3.89,940,Arts & Letters,No,No,
553,7,5,F,1,0,4.17,1190,Arts & Letters,No,Yes,3.788
555,6,6,F,1,0,4.04,1320,Arts & Letters,Yes,No,
557,7,6,F,0,0,4.22,1200,Arts & Letters,Yes,No,
558,6,6,M,1,0,3.2,1150,Arts & Letters,No,No,
559,4,7,F,1,0,3.91,1190,Arts & Letters,Yes,Yes,2.686
561,7,6,F,1,0,3.33,1200,Arts & Letters,No,No,
567,5,6,F,0,0,3.95,1110,Arts & Letters,Yes,Yes,3.036
569,6,6,M,0,0,3.36,1330,Arts & Letters,No,No,
571,4,6,F,1,0,3.16,1070,Arts & Letters,No,No,
574,6,7,M,1,0,3.25,1300,Arts & Letters,No,No,
579,7,3,F,1,0,3.62,1060,Arts & Letters,No,No,
580,6,4,M,1,0,3.76,1260,Arts & Letters,Yes,No,
583,7,6,F,1,0,3.55,1070,Arts & Letters,No,No,
584,7,7,M,1,0,3.64,1230,Arts & Letters,Yes,Yes,3.347
586,4,5,F,0,1,3.55,1150,Arts & Letters,No,No,
590,3,2,M,1,0,3.88,1160,Arts & Letters,No,No,
592,4,4,M,0,0,3.46,1120,Arts & Letters,No,No,
594,4,7,M,1,0,4.14,1350,Arts & Letters,Yes,No,
596,7,6,M,1,0,3.45,1230,Arts & Letters,No,No,
597,4,4,M,1,0,3.94,1150,Arts & Letters,No,Yes,2.865
600,6,7,F,1,0,4.15,1370,Arts & Letters,No,Yes,2.504
607,7,7,M,0,1,3.88,1130,Arts & Letters,Yes,No,
609,7,6,M,1,0,4.3,1470,Arts & Letters,No,No,
610,7,7,M,1,0,3.73,1520,Arts & Letters,Yes,No,
611,6,4,F,1,0,3.77,1210,Arts & Letters,No,Yes,2.97
612,7,4,F,0,0,3.62,930,Arts & Letters,No,No,
616,7,7,F,0,0,3.96,1310,Arts & Letters,Yes,No,
618,6,7,F,0,1,3.48,1090,Arts & Letters,No,No,
619,7,6,F,1,0,3.39,1400,Arts & Letters,No,No,
621,4,6,F,0,0,3.58,1100,Arts & Letters,Yes,No,
626,2,2,M,0,0,4,950,Arts & Letters,Yes,Yes,3.381
630,6,6,M,1,0,3.56,1050,Arts & Letters,No,No,
649,6,7,F,1,0,3.73,1130,Arts & Letters,No,No,
650,1,2,F,0,0,3.35,1010,Arts & Letters,No,No,
651,7,6,F,1,0,3.58,1270,Arts & Letters,No,Yes,3.219
653,6,6,F,1,0,4.12,1190,Arts & Letters,Yes,No,
654,6,6,M,1,0,3.62,1280,Arts & Letters,Yes,Yes,3.362
662,5,7,M,0,0,2.72,990,Arts & Letters,No,No,
667,7,7,F,0,0,4.32,1410,Arts & Letters,Yes,No,
669,4,6,F,0,1,4.04,1330,Arts & Letters,Yes,No,
674,3,6,F,0,1,3.46,1250,Arts & Letters,No,No,
677,1,1,F,0,0,2.67,770,Arts & Letters,No,No,
679,6,4,F,0,0,4,1300,Arts & Letters,No,No,
680,2,1,M,0,0,3.86,1090,Arts & Letters,Yes,No,
684,3,5,F,0,0,3.87,1330,Arts & Letters,No,No,
686,2,6,M,0,0,2.6,770,Arts & Letters,No,No,
687,3,4,F,1,0,2.5,950,Arts & Letters,No,No,
691,3,5,F,0,1,3.69,1170,Arts & Letters,No,No,
692,2,4,F,0,0,2.63,1130,Arts & Letters,No,No,
695,1,1,F,0,0,3.5,660,Arts & Letters,No,No,
696,7,7,F,1,0,3.4,1050,Arts & Letters,No,No,
704,1,1,F,0,0,4.27,1230,Arts & Letters,Yes,No,
707,6,6,F,1,0,3.86,980,Arts & Letters,No,Yes,3.026
721,4,5,F,1,0,3.4,1030,Arts & Letters,No,No,
727,1,2,F,0,0,2.62,770,Arts & Letters,No,No,
728,6,6,M,1,0,2.42,1210,Arts & Letters,No,No,
730,6,6,F,1,0,4.05,1390,Arts & Letters,No,No,
733,6,6,M,0,0,3.56,1140,Arts & Letters,No,No,
734,3,6,M,1,0,3.62,1430,Arts & Letters,No,No,
736,6,7,M,1,0,3.81,1170,Arts & Letters,No,No,
739,7,7,F,1,0,3.73,1110,Arts & Letters,Yes,No,
741,1,1,F,0,1,3.85,1270,Arts & Letters,No,No,
744,7,6,M,1,0,3.5,1130,Arts & Letters,No,No,
745,5,7,M,1,0,3.6,1390,Arts & Letters,Yes,Yes,3.817
750,6,6,M,0,0,3.58,1330,Arts & Letters,Yes,No,
752,7,7,M,0,0,3.62,1100,Arts & Letters,No,No,
755,6,6,F,1,0,3.5,950,Arts & Letters,No,No,
757,6,6,F,1,0,3.55,1430,Arts & Letters,No,Yes,3.73
761,7,7,M,1,0,2.82,1380,Arts & Letters,Yes,Yes,2.719
764,6,4,F,0,1,4.4,1320,Arts & Letters,No,No,
773,6,6,M,1,0,4.09,1270,Arts & Letters,No,No,
776,6,4,F,1,0,4.17,1270,Arts & Letters,No,No,
777,6,4,F,1,0,4.04,1140,Arts & Letters,No,No,
780,6,3,F,1,0,3.23,1220,Arts & Letters,No,No,
784,6,6,F,1,0,4.17,1430,Arts & Letters,Yes,Yes,3.932
787,4,4,F,1,0,4.29,1150,Arts & Letters,Yes,No,
793,6,7,F,1,0,4.18,1170,Arts & Letters,No,No,
794,6,6,M,1,0,3.5,1240,Arts & Letters,Yes,Yes,3.331
796,1,3,F,0,0,3.37,1040,Arts & Letters,No,No,
802,3,3,F,0,0,3.55,1350,Arts & Letters,No,No,
806,4,4,M,1,0,3.58,1290,Arts & Letters,No,No,
807,6,4,F,0,1,3.2,1250,Arts & Letters,No,No,
811,4,6,F,0,0,3,740,Arts & Letters,No,No,
812,6,4,F,1,0,4.14,1190,Arts & Letters,No,No,
815,4,7,F,0,0,3.18,1000,Arts & Letters,No,No,
816,6,3,F,1,0,3.16,1040,Arts & Letters,No,No,
817,5,4,F,0,0,3.52,1180,Arts & Letters,No,No,
819,4,4,M,0,0,3.64,1130,Arts & Letters,No,No,
821,4,7,M,0,0,3.5,1170,Arts & Letters,No,No,
823,5,3,F,1,0,4.17,1080,Arts & Letters,Yes,Yes,3.478
824,4,5,F,1,0,3.55,1040,Arts & Letters,No,No,
825,4,4,F,1,0,3.28,1220,Arts & Letters,No,No,
833,7,6,F,1,0,4.27,1560,Arts & Letters,Yes,No,
844,6,6,F,0,1,3.35,990,Arts & Letters,No,No,
849,6,7,M,1,0,3.71,1210,Arts & Letters,No,No,
853,3,3,F,1,0,4.18,1490,Arts & Letters,No,Yes,3.04
855,6,6,F,1,0,3.45,1230,Arts & Letters,No,No,
856,4,6,F,1,0,3.33,1070,Arts & Letters,Yes,No,
867,4,3,F,0,0,3.7,1080,Arts & Letters,No,No,
869,3,4,M,0,1,3.55,1130,Arts & Letters,No,No,
876,7,6,F,1,0,3.65,1130,Arts & Letters,Yes,No,
881,7,7,M,1,0,3.83,1010,Arts & Letters,No,No,
882,7,7,M,1,0,3.91,1400,Arts & Letters,No,No,
883,7,6,F,1,0,3.96,1310,Arts & Letters,Yes,No,
886,6,7,F,1,0,3.82,1230,Arts & Letters,No,Yes,3.113
888,1,1,M,0,0,3.15,950,Arts & Letters,No,No,
889,2,1,F,0,0,2.68,940,Arts & Letters,No,No,
893,5,4,F,0,1,3.23,1230,Arts & Letters,No,No,
896,6,7,M,1,0,4,1320,Arts & Letters,Yes,Yes,2.881
898,6,7,F,0,1,3.18,1130,Arts & Letters,No,No,
899,7,6,F,1,0,4.15,1320,Arts & Letters,Yes,No,
901,7,7,F,0,0,3.7,1070,Arts & Letters,No,No,
902,3,4,F,0,0,3.05,970,Arts & Letters,No,No,
907,6,5,M,1,0,3.36,1300,Arts & Letters,Yes,Yes,2.886
912,6,6,F,1,0,3.52,1130,Arts & Letters,Yes,Yes,3.511
920,4,6,F,1,0,4.12,1400,Arts & Letters,Yes,Yes,3.298
922,6,6,M,1,0,4,1220,Arts & Letters,Yes,Yes,3.618
924,6,4,F,1,0,3.28,1030,Arts & Letters,No,No,
927,6,7,F,1,0,3.88,1190,Arts & Letters,Yes,Yes,3.479
930,7,6,F,1,0,3.95,1310,Arts & Letters,No,No,
931,7,7,F,1,0,3.35,1300,Arts & Letters,No,No,
933,6,7,F,1,0,3.45,1110,Arts & Letters,No,No,
935,3,3,M,0,0,3.03,1160,Arts & Letters,No,No,
938,4,6,F,1,0,3.9,1100,Arts & Letters,No,No,
944,6,6,F,1,0,3.38,1270,Arts & Letters,No,No,
947,7,6,F,1,0,4,1100,Arts & Letters,Yes,No,
949,6,7,M,1,0,3.44,1130,Arts & Letters,No,No,
950,6,6,F,1,0,3.32,1100,Arts & Letters,No,No,
952,6,3,F,1,0,2.46,920,Arts & Letters,No,No,
954,6,7,F,0,0,4.27,1190,Arts & Letters,Yes,No,
956,7,4,F,1,0,3.39,1050,Arts & Letters,No,No,
957,7,7,F,1,0,2.83,830,Arts & Letters,No,No,
959,6,6,F,1,0,3.64,1050,Arts & Letters,No,No,
960,6,6,F,1,0,3.86,1170,Arts & Letters,Yes,Yes,3.664
963,6,6,M,1,0,3.41,1030,Arts & Letters,No,No,
967,3,7,F,1,0,3.8,1200,Arts & Letters,No,No,
971,4,7,M,1,0,3.16,1250,Arts & Letters,No,No,
972,4,4,M,1,0,3.9,1310,Arts & Letters,No,No,
973,6,5,F,1,0,3.42,1180,Arts & Letters,No,No,
977,7,5,F,1,0,4,1110,Arts & Letters,Yes,No,
981,7,6,F,1,0,3.29,1470,Arts & Letters,Yes,No,
983,7,6,M,1,0,3.2,1140,Arts & Letters,No,No,
986,4,6,M,1,0,3.44,1240,Arts & Letters,No,No,
991,1,4,M,0,1,3.86,980,Arts & Letters,No,No,
992,7,6,F,1,0,3.86,1420,Arts & Letters,No,No,
994,6,6,F,0,0,3.79,1190,Arts & Letters,No,No,
997,4,6,F,1,0,3.5,1090,Arts & Letters,No,No,
998,7,7,F,0,0,4.14,1300,Arts & Letters,No,No,
1006,6,4,F,1,0,3.67,1080,Arts & Letters,No,No,
1008,6,6,M,1,0,3.68,1290,Arts & Letters,No,No,
1014,6,5,F,1,0,4.2,1330,Arts & Letters,Yes,No,
1015,6,7,F,0,0,3.92,1280,Arts & Letters,Yes,No,
1016,7,7,F,1,0,3.69,1360,Arts & Letters,Yes,No,
1017,5,6,F,1,0,3.62,1090,Arts & Letters,No,No,
1018,6,7,M,1,0,3.46,1220,Arts & Letters,No,No,
1025,6,6,F,1,0,3.95,1350,Arts & Letters,Yes,No,
1026,6,5,F,0,0,4.15,980,Arts & Letters,No,Yes,2.851
1028,4,4,M,1,0,3.56,1200,Arts & Letters,No,No,
1029,3,4,F,0,0,4.13,1170,Arts & Letters,Yes,No,
1030,7,6,M,1,0,3.5,1180,Arts & Letters,No,No,
1032,6,6,M,1,0,4.3,1550,Arts & Letters,Yes,No,
1036,7,6,M,1,0,3.5,980,Arts & Letters,No,No,
1041,7,7,M,1,0,2.75,1200,Arts & Letters,No,No,
1042,5,4,M,1,0,2.95,1080,Arts & Letters,No,No,
1045,6,4,F,1,0,4.3,1250,Arts & Letters,No,No,
1048,7,7,F,1,0,3.53,1270,Arts & Letters,No,No,
1049,6,5,M,1,0,2.8,830,Arts & Letters,No,No,
1050,6,7,F,1,0,3.96,1420,Arts & Letters,Yes,No,
1051,3,6,F,1,0,4.04,1380,Arts & Letters,Yes,Yes,3.812
1052,7,6,M,1,0,3.33,1220,Arts & Letters,No,No,
1053,6,7,F,1,0,3.79,1080,Arts & Letters,No,No,
1054,1,1,F,0,0,3.22,890,Arts & Letters,No,No,
1061,6,7,F,1,0,3.38,1110,Arts & Letters,Yes,Yes,3.193
1063,6,7,F,1,0,3.23,1280,Arts & Letters,Yes,No,
1065,4,3,F,0,0,3.64,1270,Arts & Letters,Yes,No,
1067,3,3,M,0,0,3.17,990,Arts & Letters,No,No,
1069,7,7,F,1,0,3.55,1120,Arts & Letters,No,No,
1071,7,7,F,1,0,3.9,1190,Arts & Letters,No,Yes,3.288
1082,6,4,F,1,0,4.19,1270,Arts & Letters,Yes,Yes,3.86
1088,4,4,F,0,0,2.92,850,Arts & Letters,No,No,
1089,7,6,F,1,0,4.18,1240,Arts & Letters,Yes,Yes,3.634
1092,3,3,F,1,0,4.11,1290,Arts & Letters,No,No,
1094,4,4,M,0,0,3.5,1320,Arts & Letters,Yes,No,
1098,7,7,F,1,0,3.85,1110,Arts & Letters,No,No,
1099,3,3,F,1,0,3.48,1050,Arts & Letters,No,No,
1103,6,5,F,0,1,3.8,1160,Arts & Letters,No,No,
1109,7,7,M,1,0,4.03,1270,Arts & Letters,Yes,No,
1110,5,4,M,1,0,3.59,920,Arts & Letters,No,No,
1111,7,7,F,1,0,3.68,1320,Arts & Letters,No,No,
1112,7,7,M,1,0,3.82,1310,Arts & Letters,No,No,
1113,7,5,F,0,1,3.23,1090,Arts & Letters,No,No,
1115,6,6,F,1,0,3.73,1150,Arts & Letters,No,No,
1125,7,7,F,1,0,3.76,1390,Arts & Letters,Yes,No,
1127,6,6,F,1,0,4.16,1330,Arts & Letters,No,No,
1128,6,6,F,1,0,3.89,1480,Arts & Letters,Yes,No,
1129,6,6,M,1,0,3.7,1040,Arts & Letters,No,No,
1131,3,4,F,1,0,3.6,1290,Arts & Letters,Yes,No,
1132,7,4,F,0,0,3.42,1080,Arts & Letters,No,No,
1136,7,7,M,0,1,4.22,1090,Arts & Letters,No,No,
1137,7,6,M,1,0,3.09,1160,Arts & Letters,No,No,
1138,7,7,F,1,0,4.05,1350,Arts & Letters,Yes,No,
1139,6,6,M,1,0,3.76,1190,Arts & Letters,No,Yes,2.547
1140,6,6,F,1,0,3.52,1150,Arts & Letters,No,No,
1141,6,4,M,1,0,4.17,1330,Arts & Letters,Yes,No,
1143,6,3,M,1,0,3.84,1150,Arts & Letters,Yes,No,
1147,7,7,F,0,1,3.77,1320,Arts & Letters,Yes,No,
1150,7,7,M,1,0,3.45,1050,Arts & Letters,No,No,
1151,7,7,F,1,0,4.14,1260,Arts & Letters,Yes,Yes,3.486
1152,2,5,F,0,0,3.55,1060,Arts & Letters,No,No,
1154,7,7,F,1,0,3.45,1210,Arts & Letters,Yes,No,
1156,1,1,F,0,0,3.68,1060,Arts & Letters,No,No,
1165,6,6,F,1,0,3.1,1080,Arts & Letters,No,No,
1166,4,4,F,1,0,3.55,950,Arts & Letters,No,No,
1171,4,4,F,1,0,3.45,1150,Arts & Letters,No,No,
1172,4,4,F,1,0,3.52,1210,Arts & Letters,No,No,
1173,5,4,F,1,0,3.65,1200,Arts & Letters,No,No,
1177,7,6,F,0,1,3.55,880,Arts & Letters,No,No,
1180,6,6,M,1,0,4.25,1420,Arts & Letters,Yes,Yes,3.408
1182,6,5,F,1,0,3.95,1410,Arts & Letters,No,No,
1185,6,6,M,1,0,3.81,1140,Arts & Letters,No,No,
1186,6,6,M,0,1,3.59,1000,Arts & Letters,Yes,Yes,2.287
1189,4,3,M,0,0,3.89,1240,Arts & Letters,Yes,No,
1190,6,3,M,1,0,3.73,1150,Arts & Letters,No,No,
1192,6,6,F,0,1,3.89,1200,Arts & Letters,No,No,
1193,7,7,F,1,0,3.81,1290,Arts & Letters,Yes,Yes,3.29
